Rank,ChineseName,EnglishNam,Location,Area,Population,GDP,GDP_PerCapita,Income,LifeExpectancy,Salt,Hypertension,Zongzi,Doufunao,HSR
1,北京,Beijing,"(116.28,39.54)",16800,2152,28000,13.01115242,62406,81.95,11.7,0.359,Sweet,Salty,"Tianjing,Zhenzhou,Shenyang,Xi'an"
2,上海,Shanghai,"(121.26,31.12)",6340,2426,31033,12.79183842,62596,83.37,6.7,0.291,Salty,Salty,"Suzhou,Hangzhou"
3,广州,Guangzhou,"(113.18,23.10)",7434,1324,21500,16.23867069,55400,79.04,7.4,0.209,Salty,Sweet,"Shenzhen,Changsha,Chongqing,Chengdu"
4,深圳,Shenzhen,"(114.03,22.32)",1997,1078,22286,20.67346939,52938,78.3,7.4,0.209,Sweet,Sweet,"Shanghai,Ningbo,Nanjing,Changsha"
5,杭州,Hangzhou,"(120.10,30.15)",16596,890,12556,14.10786517,56276,80.89,8,0.246,Salty,Salty,"Nanjing,Ningbo,Shanghai,Changsha"
6,成都,Chengdu,"(104.04,30.39)",14605,1464,13890,9.487704918,38918,77.94,10.1,0.277,Sweet,Spicy,"Chongqing,Guangzhou,Xi'an"
7,苏州,Suzhou,"(120.39,31.20)",8488,1060,17000,16.03773585,58806,83.04,9.8,0.3,Salty,Salty,"Wuxi,Shanghai"
8,天津,Tianjing,"(117.10,39.10)",11000,1293,18595,14.38128384,42949,81.33,12.5,0.345,Sweet,Salty,"Beijing,Jinan"
9,武汉,Wuhan,"(114.20,30.37)",8494,1100,13400,12.18181818,43505,79.27,11.3,0.266,Sweet,Salty,"Zhengzhou,Nanjing,Changsha,Chongqing"
10,重庆,Chongqing,"(106.33,29.33)",82402,2884,19530,6.77184466,32193,77.81,10.1,0.245,Sweet,Spicy,"Chengdu,Wuhan,Changsha,Guangzhou"
11,南京,Nanjing,"(118.46,32.03)",6597,822,11715,14.25182482,54538,82.19,9.8,0.33,Salty,Salty,"Shanghai,Hangzhou,Jinan,Wuhan"
12,长沙,Changsha,"(112.55,28.12)",11819,704,10200,14.48863636,46948,78.66,9.2,0.156,Sweet,Sweet,"Wuhan,Hangzhou,Guangzhou,Chongqing"
13,郑州,Zhengzhou,"(113.42,34.44)",7446,862,9003,10.44431555,36050,74,12,0.249,Sweet,Sweet,"Xi'an,Nanjing,Jinan,Wuhan,Beijing"
14,西安,Xi'an,"(108.55,34.15)",10108,863,7206,8.349942063,38536,75.86,11.7,0.201,Sweet,Salty,"Beijing,Chengdu,Zhenzhou"
15,大连,Dalian,"(121.38,38.54)",13237,669,7363,11.00597907,40587,80.76,11.7,0.26,Sweet,Salty,Shenyang
16,无锡,Wuxi,"(120.18,30.35)",4628,637,10511,16.50078493,52659,82.21,8,0.33,Salty,Salty,"Nanjing,Suzhou"
17,青岛,Qingdao,"(120.19,36.04)",11282,871,11258,12.92537313,47716,80.71,10.1,0.37,Sweet,Salty,Jinan
18,济南,Jinan,"(117.02,36.40)",8177,681,7285,10.69750367,46642,78.2,10.1,0.26,Sweet,Salty,"Qingdao,Tianjing,Nanjing,Zhenzhou"
19,沈阳,Shenyang,"(123.23,41.48)",12948,810,5870,7.24691358,30727,79.56,11.7,0.26,Sweet,Salty,"Dalian,Beijing"
20,宁波,Ningbo,"(121.34,29.53)",9816,760,9850,12.96052632,55656,80.33,8,0.246,Salty,Sweet,Hangzhou
